BagabonesF,0,3196,3613,52762,78703,168.56,.88,1.49
BanishedOf,1,20,81,131,1514,.83,.24,11.55
Barbara85134845,0,231,279,7420,30492,17.13,.82,4.10
BarnettSemaj,1,1,7,3,18,.01,.14,6.00
BartCooper12,0,52,156,1929,583,17.69,.33,.30
BasraAsbat,1,14,121,17,1,.12,.11,.05
BastaviRahbar,1,107,1103,11,76,.06,.09,6.90
BauresAndrew,0,36,660,45,160,.12,.05,3.55
BeBoldEatPlants,0,47,388,62,41,.66,.12,.66
BeSurthrivalist,0,126,859,921,8754,3.52,.14,9.50
BellaHallWayne1,0,43,567,53,229,.20,.07,4.32
Belly761,1,6,225,22,91,.13,.02,4.13
BelzerRoe,1,5,22,19,184,.04,.22,9.68
BenWhiteJr1,1,2447,3160,2616,3074,22.74,.77,1.17
Ben_R_Sci,1,1049,3955,23366,41813,53.34,.26,1.78
BenattaW,1,435,1402,20,15,.08,.31,.75
BentonArkDems,0,202,373,530,1999,1.36,.54,3.77
BeskEmmanuel,1,2,66,5,11,.04,.03,2.20
BessentCale,0,23,124,214,67,.91,.18,.31
Beto20207,0,215,551,220,1742,1.49,.39,7.91
Betseba4,1,8,96,1,10,0,.08,10.00
Beverly18831185,1,0,28,6,20,.03,0,3.33
BibleBeltDarlin,0,23998,23730,81181,152729,203.46,1.01,1.88
BigFreedomGuy,0,32,354,9,46,.03,.09,5.11
BilalHashmii1,1,3,123,5,12,.04,.02,2.40
Billie27486384,1,24,315,11596,18,46.57,.07,0
Blueangel4101,0,6767,7181,28715,19108,68.36,.94,.66
BluewaternavyW,0,750,1301,6263,10964,54.46,.57,1.75
BobChristianso8,1,18,84,42,266,.13,.21,6.33
Bobbs99Bobbette,1,201,265,2516,24139,5.81,.75,9.59
Bobhvac2,0,2464,3153,1943,1623,14.39,.78,.83
BoehMark,1,1,35,35,10,.31,.02,.28
BolinaMohamed,1,1,47,47,38,.25,.02,.80
BolyMalick,1,7,125,13,55,.11,.05,4.23
BopgaI,1,87,427,51,22,.52,.20,.43
Boyerswife,0,275,1261,557,285,3.71,.21,.51
BradleyCooperMO,0,627,326,1610,4218,3.89,1.92,2.61
Bravog1991,0,93,800,486,598,1.35,.11,1.23
Brenda11n12Step,0,9,347,42,810,.16,.02,19.28
BrendaSteinbe12,0,2,29,17,110,.08,.06,6.47
BrendaaMedeea,0,127,961,1,0,0,.13,0
Brent2229,1,3,30,139,374,1.04,.10,2.69
BrentCate2,1,2066,2795,14030,14223,51.01,.73,1.01
Brentym1,1,445,1087,509,7697,1.59,.40,15.12
Brian4Freedom,0,378,578,2848,2434,10.24,.65,.85
BrianFo54517845,0,108,160,745,1886,2.50,.67,2.53
BrianKennedyPA,0,171,388,74,5026,.19,.44,67.91
Brian___Wiggins,1,32,176,1027,940,8.21,.18,.91
BriannaRoseZim1,0,11,639,9,15,.06,.01,1.66
Brianstrawsy,1,6,130,539,599,1.27,.04,1.11
BruceNBeans,0,17,185,39,114,.09,.09,2.92
Bry_2020,0,33,236,122,109,.27,.13,.89
Bschieb38,1,44,596,115,2763,.61,.07,24.02
Bubacar34316951,1,1,100,2,1,.01,.01,.50
BubbaJDAM,0,1761,3044,7275,7054,32.04,.57,.96
BudulJaale,1,5,70,3,0,.03,.07,0
BuleEnos,1,5,133,5,138,.04,.03,27.60
BulldogMama8,1,21,253,224,557,.99,.08,2.48
ButchScott4,1,1,17,24,41,.05,.05,1.70
CBCPACIE,0,74,237,67,0,.41,.31,0
CCthont,0,4,72,1,10,0,.05,10.00
CObluewave2018,0,2291,5000,1755,1429,11.47,.45,.81
CParkerBradshaw,0,274,968,19,115,.04,.28,6.05
CRokitte,1,160,5880,55,2163,.12,.02,39.32
CStaff0rd,0,114,276,134,8851,.48,.41,66.05
CW4TX,0,2969,7287,305,64,.70,.40,.20
CWEFarm,0,65,548,16,158,.10,.11,9.87
CWoolschlager,0,265,414,896,1612,8.37,.64,1.79
CantrellJosalyn,1,214,302,2735,3229,9.52,.70,1.18
CaptainMuhamma1,1,2,58,5,1,.04,.03,.20
Captainziggels,1,740,1107,28819,36406,87.33,.66,1.26
CarmenChance6,1,13,600,96,303,.61,.02,3.15
CarolineLebo6,1,25,270,3640,13654,10.48,.09,3.75
CarolineTanui8,0,15,465,22,62,.08,.03,2.81
Caryllyn2,0,110,60,1964,5519,7.46,1.83,2.81
CaseCredible,1,59,175,1516,2942,3.79,.33,1.94
CaseyCrawford34,0,37,203,83,162,.18,.18,1.95
CaseyJBrown3,1,50,1227,844,704,3.24,.04,.83
CaseyOstrowski,0,11,492,83,160,.18,.02,1.92
CassandraPatrom,0,21,245,153,224,.80,.08,1.46
CastorFoil,0,31,144,46,6,.12,.21,.13
CatCaffeinated,1,76,563,36,941,.31,.13,26.13
CaterinaM14,0,51,161,2378,3248,8.22,.31,1.36
CathyPerfect3,0,109,399,2031,7022,5.41,.27,3.45
CeesayJoe,1,33,1193,2,41,.01,.02,20.50
ChaeWooLee1,0,5245,5769,17283,16079,48.00,.90,.93
