AbdisalanDahir2,1,238,1230,48,427,.43,.19,8.89
Abdoulatifsill1,1,399,4729,167,665,1.42,.08,3.98
AbdulMa58402695,1,1,48,1,4,.01,.02,4.00
AbdulQa45216967,1,6,125,15,21,.15,.04,1.40
AbdulQaharAziz2,1,8,107,4,18,.02,.07,4.50
Abdulah25320547,1,17,155,4,74,.03,.10,18.50
AbdulfatahKha11,1,28,611,12,28,.10,.04,2.33
AbdulhakiimYas1,1,1,110,1,2,0,0,2.00
AbdullaMuaz15,1,23,942,3,626,.01,.02,208.66
AbdullahTaj19,1,0,23,2,0,.01,0,0
Abdulna73737559,1,3,92,12,23,.12,.03,1.91
Abdulra57073907,1,112,2353,3,1795,.03,.04,598.33
AbdyMire,1,1,69,4,2,.02,.01,.50
AbidJanAfridi4,1,46,811,232,585,1.56,.05,2.52
Abigail42724542,1,3250,3798,1165,1132,5.73,.85,.97
AbigailMorrall,1,7,92,3,6,.01,.07,2.00
AbinielGomes1,1,0,11,1,0,0,0,0
Ablyss5,1,1,79,1,27,0,.01,27.00
Aboubac31152867,1,29,1674,4,3229,.01,.01,807.25
AboutCuriously,0,269,688,1372,3348,5.25,.39,2.44
AbqSpirits,1,20,127,296,358,.70,.15,1.20
AbtusM,1,5414,5736,13,11438,.03,.94,879.84
AbuJawad7474011,1,1,120,1,0,0,0,0
AbuTura35033108,1,23,459,97,4247,.38,.05,43.78
AcostasMic,1,3,79,300,203,2.06,.03,.67
ActioncoachMid,1,30,632,101,0,.62,.04,0
AdamDahab1,1,1,63,3,2,.02,.01,.66
AdamouH47051874,1,2,64,6,3,.03,.03,.50
AdanHas10800986,1,11,92,10,1,.05,.11,.10
AdebayorInza,1,4,67,4,0,.02,.05,0
AdenKamala,1,12,206,236,105,1.02,.05,.44
AdmiralOsman,1,4,32,1,0,0,.12,0
AdriHoltMO,1,44,85,134,381,.50,.51,2.84
AdrianWapcapIet,1,603,1799,13496,33064,29.59,.33,2.44
AdrienMwamba3,1,0,46,1,4,0,0,4.00
AdrienneDoebel1,0,11,140,11,143,.04,.07,13.00
AdvoKid1,1,34,589,251,296,1.16,.05,1.17
Advoc8LikeAMom,0,62,721,348,94,1.78,.08,.27
AdvocateAbdulS3,1,3,134,2,302,.01,.02,151.00
Adyson08483885,1,10,123,29,102,.19,.08,3.51
AgabusGuy,1,18,208,27,16,.19,.08,.59
Ahmad_Salem1993,1,104,1972,2868,5850,12.10,.05,2.03
Ahmed45159565,1,3,131,6,113,.06,.02,18.83
AhmedAldrini,1,0,69,2,0,.01,0,0
AhmedChachar4,1,39,198,7,90,.07,.19,12.85
AhmedDeen19,1,0,34,2,0,.01,0,0
AhmedWe86929058,1,5,77,22,1,.19,.06,.04
Ahnahhellnah,1,44,1072,227,6151,.81,.04,27.09
AhsaanU64481904,1,85,1492,12,524,.06,.05,43.66
Ahsan11547455,1,114,2970,38,78,.12,.03,2.05
AhsanCh84372955,1,2,62,3,14,.02,.03,4.66
AilsonSaldanha,1,40,609,8,8,.03,.06,1.00
AinaThunde,1,3,206,2,6,.01,.01,3.00
AjmalSayes,1,146,1912,4,2,.01,.07,.50
AjokeHenry,1,696,4651,9,7821,.02,.14,869.00
AkbarDanishyar,1,6,278,6,158,.04,.02,26.33
AkifUsmani2,1,2,108,5,81,.03,.01,16.20
AkramAtwo,1,10,164,3,3,.02,.06,1.00
AktherMonjila,1,758,4939,168,465,.96,.15,2.76
AkuaKumah1,1,90,457,5,140,.02,.19,28.00
AlMende80474299,1,3380,3677,2885,4866,16.58,.91,1.68
Al_Natanagara,0,1262,2290,6153,17271,25.63,.55,2.80
AlainMichaux01,1,11,287,68,111,.44,.03,1.63
Alamsagar12,1,0,28,90,228,.46,0,2.53
AlanCor88997612,1,3057,4176,15236,14575,71.53,.73,.95
AlbertaBranden8,1,5,270,129,241,1.10,.01,1.86
Aletheia_4Truth,1,69,193,1605,1861,4.73,.35,1.15
AlexDon72347179,1,4,43,2,4,0,.09,2.00
AlexParry30,1,37,658,1167,1516,4.70,.05,1.29
AlexRad17,1,97,504,6597,3418,50.74,.19,.51
AlexRamey10,1,1,51,3,2,.02,.01,.66
AlexRog06386180,1,19,288,45,94,.21,.06,2.08
Alexand57218569,1,3557,3993,28,74,.22,.89,2.64
Alexand76085967,0,14,46,262,105,.89,.30,.40
AlexanderLytle2,1,599,1378,1454,13761,4.27,.43,9.46
Alexcon04453803,1,24,149,26,2,.18,.16,.07
Alexis97551675,1,464,880,236,283,.60,.52,1.19
AlexisKeys_,1,7,285,190,374,.46,.02,1.96
Alham21189833,1,1,56,1,0,0,.01,0
Ali770Anis,1,3,9,20,3,.17,.33,.15
AliAhma94235404,1,1,90,4,1,.04,.01,.25
AliBeka20,1,3,154,5,1,.04,.01,.20
AliHass67228075,1,0,61,3,4,.02,0,1.33
AliHuss66701285,1,179,4975,131,21,.66,.03,.16
AliJanMemon8,1,2,75,10,5,.07,.02,.50
AliNasraldein,1,2,78,3,17,.02,.02,5.66
AliReesha,1,71,433,332,696,.72,.16,2.09
Alice30578774,0,21,161,75,422,.29,.13,5.62
AliceVarnum4,1,2,108,235,45,2.07,.01,.19
Alikan54240658,1,7,58,6,3,.05,.12,.50
AlimiHamidullah,1,5,59,2,8,.01,.08,4.00
Alisaloum8,1,2,163,16,2,.14,.01,.12
AliskasAmazing,1,3,68,21,0,.16,.04,0
AliyaarMharm,1,0,9,2,12,.02,0,6.00
All0utOfBublgum,1,35,113,14,176,.04,.30,12.57
All4ACT2,1,346,2436,10638,14234,54.00,.14,1.33
AllAmericanGi16,1,2112,3231,4057,10977,19.41,.65,2.70
AllUnitedAs1,1,805,2164,13151,14498,90.07,.37,1.10
AllenKranawett1,1,601,1774,16121,13335,39.22,.33,.82
Alli09884168,1,3,44,69,338,.41,.06,4.89
AllisonBorstad,1,1,32,10,3,.05,.03,.30
AllisonEwers,0,49,145,20,80,.10,.33,4.00
Allycat231aolc1,1,1,73,15,2591,.03,.01,172.73
AllynTa62806380,1,626,2477,33216,25114,127.26,.25,.75
Almandro1,1,2,73,3,65,.03,.02,21.66
AlnasrSufyan,1,30,1376,3,9,.02,.02,3.00
AlouisMatumbar1,1,11,132,1,1,0,.08,1.00
AloukikR,1,2,25,6,0,.03,.08,0
AlphonsSaju,1,0,55,9,1,.09,0,.11
AlsultinyArshad,1,0,13,0,0,0,0,0
AltapHussain17,1,93,2269,36,117,.23,.04,3.25
AltheaLayne1,0,1,86,5,1,.02,.01,.20
Alykhat1,1,3104,4402,7093,8505,21.36,.70,1.19
Alyssa25450874,0,2,63,8,34,.08,.03,4.25
Alyssa62968594,1,4,65,2,34,.02,.06,17.00
AmadouAminou5,1,0,124,3,7,.03,0,2.33
AmandaR11055387,1,0,9,1,1,0,0,1.00
Amani45810830,1,2,72,1,0,.01,.02,0
AmanpourCoPBS,1,10980,773,619,1093,2.47,14.20,1.76
AmarAla65736434,1,2,22,1,0,0,.09,0
AmberWiewel,1,1,74,0,3,0,.01,300000.00
Amberle67399722,1,6,221,16,48,.15,.02,3.00
AmerdCfa,1,10,355,40,56,.36,.02,1.40
AmeriCa84883579,1,1751,2288,29282,9651,96.32,.76,.32
AmericanNinja2,1,568,1050,188,383,.79,.54,2.03
AmericanTruth8,1,22,207,2544,1385,7.82,.10,.54
AmericasMullig1,1,4,126,302,1,1.88,.03,0
Amir03738478,1,77,771,273,410,1.82,.09,1.50
AmirAhmatAdam4,1,1,68,5,1,.03,.01,.20
Amjad41506800,1,1,84,5,7,.04,.01,1.40
AmjadHussainSo5,1,34,771,2,3,0,.04,1.50
Amjed13123,1,2,90,3,5,.02,.02,1.66
Amralhwary1,1,0,17,10,16,.07,0,1.60
Amy022581,1,2,35,1,30,0,.05,30.00
Amy94927876,1,20,511,226,0,1.64,.03,0
AmyCJ7166,0,49,694,69,373,.52,.07,5.40
AmyCrace,1,28,312,100,1148,.32,.08,11.48
AmyEAtty,1,110,219,459,1094,1.45,.50,2.38
AmyG1Love,1,11846,12782,12638,18034,29.59,.92,1.42
AmyOakes20,1,22,283,223,3104,1.14,.07,13.91
AmyPears2545,1,1464,4441,3823,17103,10.92,.32,4.47
AmySpen46613288,1,216,1578,10,1,.06,.13,.10
AmydnB69,1,4683,5146,21149,16374,80.10,.91,.77
Amynward7,1,13,69,62,4,.20,.18,.06
Amzdealzz,1,12,293,14,0,.03,.04,0
AnaDontFollowMe,1,431,3613,962,844,4.83,.11,.87
AndeeLayton,0,257,958,714,2207,1.74,.26,3.09
AndersOdegard1,0,248,661,847,533,4.34,.37,.62
AndersonDupont,1,2,115,1,0,0,.01,0
AndersonSherlo2,1,408,1525,252,1128,1.09,.26,4.47
AndiLetsom,1,15,107,16,394,.15,.14,24.62
Andrea65914561,1,37,1531,431,273,2.23,.02,.63
Andrea_L70,1,1245,1510,2800,14055,6.54,.82,5.01
AndreasKratos,1,2959,4659,13630,5853,72.11,.63,.42
AndrewJayEvans1,1,509,736,3293,8322,7.80,.69,2.52
AndrewMcpheete1,1,69,250,5808,6658,18.85,.27,1.14
AndrewThatcher4,1,3205,4961,2564,1558,5.72,.64,.60
Andrewrobocop1,0,79,1011,810,3221,1.77,.07,3.97
Andrie20132719,1,229,4803,302,684,.66,.04,2.26
Anees33949039,1,359,4018,6,5,.03,.08,.83
AnesiusTz,1,8,87,2,25,.01,.09,12.50
Angela81250692,0,235,700,2624,2459,5.92,.33,.93
AngelaA91344417,1,1,38,1,2,0,.02,2.00
AngelaW63765246,0,4361,4498,15930,14968,43.05,.96,.93
Angi26340763,1,14,259,1,1,0,.05,1.00
